sample,fastq_1,fastq_2,sample_name,species
HFYMJDSXC_1_8bp-UDP0097,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_02/20241119/FASTQ/HFYMJDSXC_1_8bp-UDP0097_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_02/20241119/FASTQ/HFYMJDSXC_1_8bp-UDP0097_2.fastq.gz,BB1591,Callithrix geoffroyi
HFYMJDSXC_1_8bp-UDP0098,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_02/20241119/FASTQ/HFYMJDSXC_1_8bp-UDP0098_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_02/20241119/FASTQ/HFYMJDSXC_1_8bp-UDP0098_2.fastq.gz,BB1592,Phacochoerus africanus
HFYMJDSXC_1_8bp-UDP0099,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_02/20241119/FASTQ/HFYMJDSXC_1_8bp-UDP0099_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_02/20241119/FASTQ/HFYMJDSXC_1_8bp-UDP0099_2.fastq.gz,BB1593,Pan troglodytes
HFYMJDSXC_1_8bp-UDP0100,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_02/20241119/FASTQ/HFYMJDSXC_1_8bp-UDP0100_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_02/20241119/FASTQ/HFYMJDSXC_1_8bp-UDP0100_2.fastq.gz,BB1594,Oryctolagus cuniculus
HFYMJDSXC_1_8bp-UDP0101,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_02/20241119/FASTQ/HFYMJDSXC_1_8bp-UDP0101_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_02/20241119/FASTQ/HFYMJDSXC_1_8bp-UDP0101_2.fastq.gz,BB1595,Lutra lutra
HFYMJDSXC_1_8bp-UDP0102,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_02/20241119/FASTQ/HFYMJDSXC_1_8bp-UDP0102_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_02/20241119/FASTQ/HFYMJDSXC_1_8bp-UDP0102_2.fastq.gz,BB1596,Hexaprotodon liberiensis
HFYMJDSXC_1_8bp-UDP0103,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_02/20241119/FASTQ/HFYMJDSXC_1_8bp-UDP0103_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_02/20241119/FASTQ/HFYMJDSXC_1_8bp-UDP0103_2.fastq.gz,BB1597,Mustela lutreola
HFYMJDSXC_1_8bp-UDP0105,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_02/20241119/FASTQ/HFYMJDSXC_1_8bp-UDP0105_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_02/20241119/FASTQ/HFYMJDSXC_1_8bp-UDP0105_2.fastq.gz,BB1598,Papio cynocephalus
HFYMJDSXC_1_8bp-UDP0106,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_02/20241119/FASTQ/HFYMJDSXC_1_8bp-UDP0106_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_02/20241119/FASTQ/HFYMJDSXC_1_8bp-UDP0106_2.fastq.gz,BB1599,Equus quagga
HFYMJDSXC_1_8bp-UDP0107,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_02/20241119/FASTQ/HFYMJDSXC_1_8bp-UDP0107_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_02/20241119/FASTQ/HFYMJDSXC_1_8bp-UDP0107_2.fastq.gz,BB1600,Panthera leo
HFYMJDSXC_1_8bp-UDP0108,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_02/20241119/FASTQ/HFYMJDSXC_1_8bp-UDP0108_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_02/20241119/FASTQ/HFYMJDSXC_1_8bp-UDP0108_2.fastq.gz,BB1601,Loxodonta africana
HFYMJDSXC_1_8bp-UDP0109,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_02/20241119/FASTQ/HFYMJDSXC_1_8bp-UDP0109_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_02/20241119/FASTQ/HFYMJDSXC_1_8bp-UDP0109_2.fastq.gz,BB1602,Muntiacus reevesi
HFYMJDSXC_1_8bp-UDP0110,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_02/20241119/FASTQ/HFYMJDSXC_1_8bp-UDP0110_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_02/20241119/FASTQ/HFYMJDSXC_1_8bp-UDP0110_2.fastq.gz,BB1603,Panthera tigris
HFYMJDSXC_1_8bp-UDP0111,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_02/20241119/FASTQ/HFYMJDSXC_1_8bp-UDP0111_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_02/20241119/FASTQ/HFYMJDSXC_1_8bp-UDP0111_2.fastq.gz,BB1604,Procavia capensis
HFYMJDSXC_1_8bp-UDP0113,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_02/20241119/FASTQ/HFYMJDSXC_1_8bp-UDP0113_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_02/20241119/FASTQ/HFYMJDSXC_1_8bp-UDP0113_2.fastq.gz,BB1605,Bos grunniens
HFYMJDSXC_1_8bp-UDP0114,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_02/20241119/FASTQ/HFYMJDSXC_1_8bp-UDP0114_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_02/20241119/FASTQ/HFYMJDSXC_1_8bp-UDP0114_2.fastq.gz,BB1606,Equus caballus
HFYMJDSXC_1_8bp-UDP0115,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_02/20241119/FASTQ/HFYMJDSXC_1_8bp-UDP0115_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_02/20241119/FASTQ/HFYMJDSXC_1_8bp-UDP0115_2.fastq.gz,BB1607,Hydrochoerus hydrochaeris
HFYMJDSXC_1_8bp-UDP0116,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_02/20241119/FASTQ/HFYMJDSXC_1_8bp-UDP0116_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_02/20241119/FASTQ/HFYMJDSXC_1_8bp-UDP0116_2.fastq.gz,BB1608,Gorilla gorilla
HFYMJDSXC_1_8bp-UDP0117,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_02/20241119/FASTQ/HFYMJDSXC_1_8bp-UDP0117_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_02/20241119/FASTQ/HFYMJDSXC_1_8bp-UDP0117_2.fastq.gz,BB1609,Zalophus californianus
HFYMJDSXC_1_8bp-UDP0118,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_02/20241119/FASTQ/HFYMJDSXC_1_8bp-UDP0118_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_02/20241119/FASTQ/HFYMJDSXC_1_8bp-UDP0118_2.fastq.gz,BB1610,Dolichotis patagonum
HFYMJDSXC_1_8bp-UDP0119,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_02/20241119/FASTQ/HFYMJDSXC_1_8bp-UDP0119_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_02/20241119/FASTQ/HFYMJDSXC_1_8bp-UDP0119_2.fastq.gz,BB1611,Pongo pygmaeus
HFYMJDSXC_2_8bp-UDP0097,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_02/20241119/FASTQ/HFYMJDSXC_2_8bp-UDP0097_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_02/20241119/FASTQ/HFYMJDSXC_2_8bp-UDP0097_2.fastq.gz,BB1591,Callithrix geoffroyi
HFYMJDSXC_2_8bp-UDP0098,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_02/20241119/FASTQ/HFYMJDSXC_2_8bp-UDP0098_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_02/20241119/FASTQ/HFYMJDSXC_2_8bp-UDP0098_2.fastq.gz,BB1592,Phacochoerus africanus
