sample,fastq_1,fastq_2,sample_name,species
HHJKKDSXC_1_8bp-UDP0160,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_07/20241217/FASTQ/HHJKKDSXC_1_8bp-UDP0160_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_07/20241217/FASTQ/HHJKKDSXC_1_8bp-UDP0160_2.fastq.gz,ABA20114,Pleurodeles waltl
HHJKKDSXC_2_8bp-UDP0160,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_07/20241217/FASTQ/HHJKKDSXC_2_8bp-UDP0160_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_07/20241217/FASTQ/HHJKKDSXC_2_8bp-UDP0160_2.fastq.gz,ABA20114,Pleurodeles waltl
HHJKKDSXC_3_8bp-UDP0160,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_07/20241217/FASTQ/HHJKKDSXC_3_8bp-UDP0160_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_07/20241217/FASTQ/HHJKKDSXC_3_8bp-UDP0160_2.fastq.gz,ABA20114,Pleurodeles waltl
HHJKKDSXC_4_8bp-UDP0160,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_07/20241217/FASTQ/HHJKKDSXC_4_8bp-UDP0160_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_07/20241217/FASTQ/HHJKKDSXC_4_8bp-UDP0160_2.fastq.gz,ABA20114,Pleurodeles waltl
HHJTTDSXC_1_8bp-UDP0160,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_07/20241217/FASTQ/HHJTTDSXC_1_8bp-UDP0160_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_07/20241217/FASTQ/HHJTTDSXC_1_8bp-UDP0160_2.fastq.gz,ABA20114,Pleurodeles waltl
HHJTTDSXC_2_8bp-UDP0160,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_07/20241217/FASTQ/HHJTTDSXC_2_8bp-UDP0160_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_07/20241217/FASTQ/HHJTTDSXC_2_8bp-UDP0160_2.fastq.gz,ABA20114,Pleurodeles waltl
HHJTTDSXC_3_8bp-UDP0160,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_07/20241217/FASTQ/HHJTTDSXC_3_8bp-UDP0160_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_07/20241217/FASTQ/HHJTTDSXC_3_8bp-UDP0160_2.fastq.gz,ABA20114,Pleurodeles waltl
HHJTTDSXC_4_8bp-UDP0160,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_07/20241217/FASTQ/HHJTTDSXC_4_8bp-UDP0160_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_07/20241217/FASTQ/HHJTTDSXC_4_8bp-UDP0160_2.fastq.gz,ABA20114,Pleurodeles waltl
HHJY3DSXC_1_8bp-UDP0160,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_07/20241217/FASTQ/HHJY3DSXC_1_8bp-UDP0160_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_07/20241217/FASTQ/HHJY3DSXC_1_8bp-UDP0160_2.fastq.gz,ABA20114,Pleurodeles waltl
HHJY3DSXC_2_8bp-UDP0160,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_07/20241217/FASTQ/HHJY3DSXC_2_8bp-UDP0160_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_07/20241217/FASTQ/HHJY3DSXC_2_8bp-UDP0160_2.fastq.gz,ABA20114,Pleurodeles waltl
HHJY3DSXC_3_8bp-UDP0160,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_07/20241217/FASTQ/HHJY3DSXC_3_8bp-UDP0160_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_07/20241217/FASTQ/HHJY3DSXC_3_8bp-UDP0160_2.fastq.gz,ABA20114,Pleurodeles waltl
HHJY3DSXC_4_8bp-UDP0160,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_07/20241217/FASTQ/HHJY3DSXC_4_8bp-UDP0160_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_07/20241217/FASTQ/HHJY3DSXC_4_8bp-UDP0160_2.fastq.gz,ABA20114,Pleurodeles waltl
