sample,fastq_1,fastq_2,sample_name,species
H3MKMDSXF_1_8bp-UDP0217,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_09/20250411/FASTQ/H3MKMDSXF_1_8bp-UDP0217_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_09/20250411/FASTQ/H3MKMDSXF_1_8bp-UDP0217_2.fastq.gz,ABA20136,Ptilinopus melanospilus
H3MKMDSXF_1_8bp-UDP0223V3,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_09/20250411/FASTQ/H3MKMDSXF_1_8bp-UDP0223V3_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_09/20250411/FASTQ/H3MKMDSXF_1_8bp-UDP0223V3_2.fastq.gz,ABA23494,Jacana jacana
H3MKMDSXF_1_8bp-UDP0224V3,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_09/20250411/FASTQ/H3MKMDSXF_1_8bp-UDP0224V3_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_09/20250411/FASTQ/H3MKMDSXF_1_8bp-UDP0224V3_2.fastq.gz,ABA23499,Nycticorax nycticorax
H3MKMDSXF_1_8bp-UDP0252V2,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_09/20250411/FASTQ/H3MKMDSXF_1_8bp-UDP0252V2_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_09/20250411/FASTQ/H3MKMDSXF_1_8bp-UDP0252V2_2.fastq.gz,ABA20147,Crinifer piscator
H3MKMDSXF_2_8bp-UDP0217,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_09/20250411/FASTQ/H3MKMDSXF_2_8bp-UDP0217_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_09/20250411/FASTQ/H3MKMDSXF_2_8bp-UDP0217_2.fastq.gz,ABA20136,Ptilinopus melanospilus
H3MKMDSXF_2_8bp-UDP0223V3,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_09/20250411/FASTQ/H3MKMDSXF_2_8bp-UDP0223V3_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_09/20250411/FASTQ/H3MKMDSXF_2_8bp-UDP0223V3_2.fastq.gz,ABA23494,Jacana jacana
H3MKMDSXF_2_8bp-UDP0224V3,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_09/20250411/FASTQ/H3MKMDSXF_2_8bp-UDP0224V3_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_09/20250411/FASTQ/H3MKMDSXF_2_8bp-UDP0224V3_2.fastq.gz,ABA23499,Nycticorax nycticorax
H3MKMDSXF_2_8bp-UDP0252V2,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_09/20250411/FASTQ/H3MKMDSXF_2_8bp-UDP0252V2_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_09/20250411/FASTQ/H3MKMDSXF_2_8bp-UDP0252V2_2.fastq.gz,ABA20147,Crinifer piscator
H3MKMDSXF_3_8bp-UDP0217,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_09/20250411/FASTQ/H3MKMDSXF_3_8bp-UDP0217_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_09/20250411/FASTQ/H3MKMDSXF_3_8bp-UDP0217_2.fastq.gz,ABA20136,Ptilinopus melanospilus
H3MKMDSXF_3_8bp-UDP0223V3,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_09/20250411/FASTQ/H3MKMDSXF_3_8bp-UDP0223V3_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_09/20250411/FASTQ/H3MKMDSXF_3_8bp-UDP0223V3_2.fastq.gz,ABA23494,Jacana jacana
H3MKMDSXF_3_8bp-UDP0224V3,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_09/20250411/FASTQ/H3MKMDSXF_3_8bp-UDP0224V3_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_09/20250411/FASTQ/H3MKMDSXF_3_8bp-UDP0224V3_2.fastq.gz,ABA23499,Nycticorax nycticorax
H3MKMDSXF_3_8bp-UDP0252V2,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_09/20250411/FASTQ/H3MKMDSXF_3_8bp-UDP0252V2_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_09/20250411/FASTQ/H3MKMDSXF_3_8bp-UDP0252V2_2.fastq.gz,ABA20147,Crinifer piscator
H3MKMDSXF_4_8bp-UDP0217,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_09/20250411/FASTQ/H3MKMDSXF_4_8bp-UDP0217_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_09/20250411/FASTQ/H3MKMDSXF_4_8bp-UDP0217_2.fastq.gz,ABA20136,Ptilinopus melanospilus
H3MKMDSXF_4_8bp-UDP0223V3,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_09/20250411/FASTQ/H3MKMDSXF_4_8bp-UDP0223V3_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_09/20250411/FASTQ/H3MKMDSXF_4_8bp-UDP0223V3_2.fastq.gz,ABA23494,Jacana jacana
H3MKMDSXF_4_8bp-UDP0224V3,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_09/20250411/FASTQ/H3MKMDSXF_4_8bp-UDP0224V3_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_09/20250411/FASTQ/H3MKMDSXF_4_8bp-UDP0224V3_2.fastq.gz,ABA23499,Nycticorax nycticorax
H3MKMDSXF_4_8bp-UDP0252V2,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_09/20250411/FASTQ/H3MKMDSXF_4_8bp-UDP0252V2_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_09/20250411/FASTQ/H3MKMDSXF_4_8bp-UDP0252V2_2.fastq.gz,ABA20147,Crinifer piscator
