sample,fastq_1,fastq_2,sample_name,species
H7VWWDSXF_1_8bp-UDP0292,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_17/20250604/FASTQ/H7VWWDSXF_1_8bp-UDP0292_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_17/20250604/FASTQ/H7VWWDSXF_1_8bp-UDP0292_2.fastq.gz,ABA23932,Ficedula hypoleuca
H7VWWDSXF_1_8bp-UDP0293,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_17/20250604/FASTQ/H7VWWDSXF_1_8bp-UDP0293_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_17/20250604/FASTQ/H7VWWDSXF_1_8bp-UDP0293_2.fastq.gz,ABA23933,Lamprotornis superbus
H7VWWDSXF_1_8bp-UDP0301V2,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_17/20250604/FASTQ/H7VWWDSXF_1_8bp-UDP0301V2_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_17/20250604/FASTQ/H7VWWDSXF_1_8bp-UDP0301V2_2.fastq.gz,ABA23961,Marmaronetta angustirostris
H7VWWDSXF_1_8bp-UDP0305,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_17/20250604/FASTQ/H7VWWDSXF_1_8bp-UDP0305_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_17/20250604/FASTQ/H7VWWDSXF_1_8bp-UDP0305_2.fastq.gz,ABA23989,Guaruba guarouba
H7VWWDSXF_1_8bp-UDP0273,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_17/20250604/FASTQ/H7VWWDSXF_1_8bp-UDP0273_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_17/20250604/FASTQ/H7VWWDSXF_1_8bp-UDP0273_2.fastq.gz,ABA23937,Otus scops
H7VWWDSXF_1_8bp-UDP0274,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_17/20250604/FASTQ/H7VWWDSXF_1_8bp-UDP0274_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_17/20250604/FASTQ/H7VWWDSXF_1_8bp-UDP0274_2.fastq.gz,ABA23938,Phoenicopterus ruber
H7VWWDSXF_1_8bp-UDP0275,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_17/20250604/FASTQ/H7VWWDSXF_1_8bp-UDP0275_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_17/20250604/FASTQ/H7VWWDSXF_1_8bp-UDP0275_2.fastq.gz,ABA24010,Scissirostrum dubium
H7VWWDSXF_2_8bp-UDP0292,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_17/20250604/FASTQ/H7VWWDSXF_2_8bp-UDP0292_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_17/20250604/FASTQ/H7VWWDSXF_2_8bp-UDP0292_2.fastq.gz,ABA23932,Ficedula hypoleuca
H7VWWDSXF_2_8bp-UDP0293,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_17/20250604/FASTQ/H7VWWDSXF_2_8bp-UDP0293_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_17/20250604/FASTQ/H7VWWDSXF_2_8bp-UDP0293_2.fastq.gz,ABA23933,Lamprotornis superbus
H7VWWDSXF_2_8bp-UDP0301V2,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_17/20250604/FASTQ/H7VWWDSXF_2_8bp-UDP0301V2_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_17/20250604/FASTQ/H7VWWDSXF_2_8bp-UDP0301V2_2.fastq.gz,ABA23961,Marmaronetta angustirostris
H7VWWDSXF_2_8bp-UDP0305,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_17/20250604/FASTQ/H7VWWDSXF_2_8bp-UDP0305_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_17/20250604/FASTQ/H7VWWDSXF_2_8bp-UDP0305_2.fastq.gz,ABA23989,Guaruba guarouba
H7VWWDSXF_2_8bp-UDP0273,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_17/20250604/FASTQ/H7VWWDSXF_2_8bp-UDP0273_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_17/20250604/FASTQ/H7VWWDSXF_2_8bp-UDP0273_2.fastq.gz,ABA23937,Otus scops
