sample,fastq_1,fastq_2,sample_name,species
H3MKMDSXF_1_8bp-UDP0193V3,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_11/20250411/FASTQ/H3MKMDSXF_1_8bp-UDP0193V3_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_11/20250411/FASTQ/H3MKMDSXF_1_8bp-UDP0193V3_2.fastq.gz,ABA20151,Natrix helvetica
H3MKMDSXF_1_8bp-UDP0198,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_11/20250411/FASTQ/H3MKMDSXF_1_8bp-UDP0198_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_11/20250411/FASTQ/H3MKMDSXF_1_8bp-UDP0198_2.fastq.gz,ABA20167,Ailurus fulgens
H3MKMDSXF_2_8bp-UDP0193V3,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_11/20250411/FASTQ/H3MKMDSXF_2_8bp-UDP0193V3_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_11/20250411/FASTQ/H3MKMDSXF_2_8bp-UDP0193V3_2.fastq.gz,ABA20151,Natrix helvetica
H3MKMDSXF_2_8bp-UDP0198,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_11/20250411/FASTQ/H3MKMDSXF_2_8bp-UDP0198_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_11/20250411/FASTQ/H3MKMDSXF_2_8bp-UDP0198_2.fastq.gz,ABA20167,Ailurus fulgens
H3MKMDSXF_3_8bp-UDP0193V3,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_11/20250411/FASTQ/H3MKMDSXF_3_8bp-UDP0193V3_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_11/20250411/FASTQ/H3MKMDSXF_3_8bp-UDP0193V3_2.fastq.gz,ABA20151,Natrix helvetica
H3MKMDSXF_3_8bp-UDP0198,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_11/20250411/FASTQ/H3MKMDSXF_3_8bp-UDP0198_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_11/20250411/FASTQ/H3MKMDSXF_3_8bp-UDP0198_2.fastq.gz,ABA20167,Ailurus fulgens
H3MKMDSXF_4_8bp-UDP0193V3,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_11/20250411/FASTQ/H3MKMDSXF_4_8bp-UDP0193V3_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_11/20250411/FASTQ/H3MKMDSXF_4_8bp-UDP0193V3_2.fastq.gz,ABA20151,Natrix helvetica
H3MKMDSXF_4_8bp-UDP0198,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_11/20250411/FASTQ/H3MKMDSXF_4_8bp-UDP0198_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_11/20250411/FASTQ/H3MKMDSXF_4_8bp-UDP0198_2.fastq.gz,ABA20167,Ailurus fulgens
H52FVDSXF_1_8bp-UDP0193V3,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_11/20250411/FASTQ/H52FVDSXF_1_8bp-UDP0193V3_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_11/20250411/FASTQ/H52FVDSXF_1_8bp-UDP0193V3_2.fastq.gz,ABA20151,Natrix helvetica
H52FVDSXF_1_8bp-UDP0194V3,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_11/20250411/FASTQ/H52FVDSXF_1_8bp-UDP0194V3_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_11/20250411/FASTQ/H52FVDSXF_1_8bp-UDP0194V3_2.fastq.gz,ABA20154,Timon lepidus
H52FVDSXF_1_8bp-UDP0195V3,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_11/20250411/FASTQ/H52FVDSXF_1_8bp-UDP0195V3_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_11/20250411/FASTQ/H52FVDSXF_1_8bp-UDP0195V3_2.fastq.gz,ABA20155,Muntiacus muntjak
H52FVDSXF_1_8bp-UDP0196V3,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_11/20250411/FASTQ/H52FVDSXF_1_8bp-UDP0196V3_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_11/20250411/FASTQ/H52FVDSXF_1_8bp-UDP0196V3_2.fastq.gz,ABA20159,Leopardus pardalis
H52FVDSXF_1_8bp-UDP0198,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_11/20250411/FASTQ/H52FVDSXF_1_8bp-UDP0198_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_11/20250411/FASTQ/H52FVDSXF_1_8bp-UDP0198_2.fastq.gz,ABA20167,Ailurus fulgens
H52FVDSXF_1_8bp-UDP0199,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_11/20250411/FASTQ/H52FVDSXF_1_8bp-UDP0199_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_11/20250411/FASTQ/H52FVDSXF_1_8bp-UDP0199_2.fastq.gz,ABA23229,Panthera pardus
H52FVDSXF_1_8bp-UDP0200,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_11/20250411/FASTQ/H52FVDSXF_1_8bp-UDP0200_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_11/20250411/FASTQ/H52FVDSXF_1_8bp-UDP0200_2.fastq.gz,ABA23230,Crocuta crocuta
H52FVDSXF_1_8bp-UDP0201,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_11/20250411/FASTQ/H52FVDSXF_1_8bp-UDP0201_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_11/20250411/FASTQ/H52FVDSXF_1_8bp-UDP0201_2.fastq.gz,ABA23424,Otaria byronia
H52FVDSXF_1_8bp-UDP0202,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_11/20250411/FASTQ/H52FVDSXF_1_8bp-UDP0202_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_11/20250411/FASTQ/H52FVDSXF_1_8bp-UDP0202_2.fastq.gz,ABA23437,Ailuropoda melanoleuca
H52FVDSXF_1_8bp-UDP0203,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_11/20250411/FASTQ/H52FVDSXF_1_8bp-UDP0203_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_11/20250411/FASTQ/H52FVDSXF_1_8bp-UDP0203_2.fastq.gz,ABA23438,Ailurus fulgens
H52FVDSXF_1_8bp-UDP0204,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_11/20250411/FASTQ/H52FVDSXF_1_8bp-UDP0204_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_11/20250411/FASTQ/H52FVDSXF_1_8bp-UDP0204_2.fastq.gz,ABA23454,Camelus bactrianus
H52FVDSXF_1_8bp-UDP0205,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_11/20250411/FASTQ/H52FVDSXF_1_8bp-UDP0205_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_11/20250411/FASTQ/H52FVDSXF_1_8bp-UDP0205_2.fastq.gz,ABA23455,Ursus thibetanus
H52FVDSXF_1_8bp-UDP0206,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_11/20250411/FASTQ/H52FVDSXF_1_8bp-UDP0206_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_11/20250411/FASTQ/H52FVDSXF_1_8bp-UDP0206_2.fastq.gz,ABA23458,Panthera pardus
