sample,fastq_1,fastq_2,sample_name,species
H52HYDSXF_1_8bp-UDP0238,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_13/20250411/FASTQ/H52HYDSXF_1_8bp-UDP0238_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_13/20250411/FASTQ/H52HYDSXF_1_8bp-UDP0238_2.fastq.gz,ABA23232,Bison bonasus
H52HYDSXF_1_8bp-UDP0239,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_13/20250411/FASTQ/H52HYDSXF_1_8bp-UDP0239_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_13/20250411/FASTQ/H52HYDSXF_1_8bp-UDP0239_2.fastq.gz,ABA23445,Cercocebus torquatus
H52HYDSXF_1_8bp-UDP0240,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_13/20250411/FASTQ/H52HYDSXF_1_8bp-UDP0240_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_13/20250411/FASTQ/H52HYDSXF_1_8bp-UDP0240_2.fastq.gz,ABA23453,Aepyceros melampus
H52HYDSXF_1_8bp-UDP0241,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_13/20250411/FASTQ/H52HYDSXF_1_8bp-UDP0241_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_13/20250411/FASTQ/H52HYDSXF_1_8bp-UDP0241_2.fastq.gz,ABA23481,Loxodonta africana
H52HYDSXF_1_8bp-UDP0242V3,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_13/20250411/FASTQ/H52HYDSXF_1_8bp-UDP0242V3_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_13/20250411/FASTQ/H52HYDSXF_1_8bp-UDP0242V3_2.fastq.gz,ABA23489,Notamacropus rufogriseus
H52HYDSXF_1_8bp-UDP0243,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_13/20250411/FASTQ/H52HYDSXF_1_8bp-UDP0243_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_13/20250411/FASTQ/H52HYDSXF_1_8bp-UDP0243_2.fastq.gz,ABA23505,Notamacropus rufogriseus
H52HYDSXF_2_8bp-UDP0238,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_13/20250411/FASTQ/H52HYDSXF_2_8bp-UDP0238_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_13/20250411/FASTQ/H52HYDSXF_2_8bp-UDP0238_2.fastq.gz,ABA23232,Bison bonasus
H52HYDSXF_2_8bp-UDP0239,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_13/20250411/FASTQ/H52HYDSXF_2_8bp-UDP0239_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_13/20250411/FASTQ/H52HYDSXF_2_8bp-UDP0239_2.fastq.gz,ABA23445,Cercocebus torquatus
H52HYDSXF_2_8bp-UDP0240,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_13/20250411/FASTQ/H52HYDSXF_2_8bp-UDP0240_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_13/20250411/FASTQ/H52HYDSXF_2_8bp-UDP0240_2.fastq.gz,ABA23453,Aepyceros melampus
H52HYDSXF_2_8bp-UDP0241,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_13/20250411/FASTQ/H52HYDSXF_2_8bp-UDP0241_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_13/20250411/FASTQ/H52HYDSXF_2_8bp-UDP0241_2.fastq.gz,ABA23481,Loxodonta africana
H52HYDSXF_2_8bp-UDP0242V3,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_13/20250411/FASTQ/H52HYDSXF_2_8bp-UDP0242V3_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_13/20250411/FASTQ/H52HYDSXF_2_8bp-UDP0242V3_2.fastq.gz,ABA23489,Notamacropus rufogriseus
H52HYDSXF_2_8bp-UDP0243,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_13/20250411/FASTQ/H52HYDSXF_2_8bp-UDP0243_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_13/20250411/FASTQ/H52HYDSXF_2_8bp-UDP0243_2.fastq.gz,ABA23505,Notamacropus rufogriseus
H52HYDSXF_3_8bp-UDP0238,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_13/20250411/FASTQ/H52HYDSXF_3_8bp-UDP0238_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_13/20250411/FASTQ/H52HYDSXF_3_8bp-UDP0238_2.fastq.gz,ABA23232,Bison bonasus
H52HYDSXF_3_8bp-UDP0239,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_13/20250411/FASTQ/H52HYDSXF_3_8bp-UDP0239_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_13/20250411/FASTQ/H52HYDSXF_3_8bp-UDP0239_2.fastq.gz,ABA23445,Cercocebus torquatus
H52HYDSXF_3_8bp-UDP0240,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_13/20250411/FASTQ/H52HYDSXF_3_8bp-UDP0240_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_13/20250411/FASTQ/H52HYDSXF_3_8bp-UDP0240_2.fastq.gz,ABA23453,Aepyceros melampus
H52HYDSXF_3_8bp-UDP0241,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_13/20250411/FASTQ/H52HYDSXF_3_8bp-UDP0241_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_13/20250411/FASTQ/H52HYDSXF_3_8bp-UDP0241_2.fastq.gz,ABA23481,Loxodonta africana
H52HYDSXF_3_8bp-UDP0242V3,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_13/20250411/FASTQ/H52HYDSXF_3_8bp-UDP0242V3_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_13/20250411/FASTQ/H52HYDSXF_3_8bp-UDP0242V3_2.fastq.gz,ABA23489,Notamacropus rufogriseus
H52HYDSXF_3_8bp-UDP0243,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_13/20250411/FASTQ/H52HYDSXF_3_8bp-UDP0243_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_13/20250411/FASTQ/H52HYDSXF_3_8bp-UDP0243_2.fastq.gz,ABA23505,Notamacropus rufogriseus
H52HYDSXF_4_8bp-UDP0238,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_13/20250411/FASTQ/H52HYDSXF_4_8bp-UDP0238_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_13/20250411/FASTQ/H52HYDSXF_4_8bp-UDP0238_2.fastq.gz,ABA23232,Bison bonasus
H52HYDSXF_4_8bp-UDP0239,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_13/20250411/FASTQ/H52HYDSXF_4_8bp-UDP0239_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_13/20250411/FASTQ/H52HYDSXF_4_8bp-UDP0239_2.fastq.gz,ABA23445,Cercocebus torquatus
H52HYDSXF_4_8bp-UDP0240,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_13/20250411/FASTQ/H52HYDSXF_4_8bp-UDP0240_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_13/20250411/FASTQ/H52HYDSXF_4_8bp-UDP0240_2.fastq.gz,ABA23453,Aepyceros melampus
H52HYDSXF_4_8bp-UDP0241,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_13/20250411/FASTQ/H52HYDSXF_4_8bp-UDP0241_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_13/20250411/FASTQ/H52HYDSXF_4_8bp-UDP0241_2.fastq.gz,ABA23481,Loxodonta africana
H52HYDSXF_4_8bp-UDP0242V3,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_13/20250411/FASTQ/H52HYDSXF_4_8bp-UDP0242V3_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_13/20250411/FASTQ/H52HYDSXF_4_8bp-UDP0242V3_2.fastq.gz,ABA23489,Notamacropus rufogriseus
H52HYDSXF_4_8bp-UDP0243,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_13/20250411/FASTQ/H52HYDSXF_4_8bp-UDP0243_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_13/20250411/FASTQ/H52HYDSXF_4_8bp-UDP0243_2.fastq.gz,ABA23505,Notamacropus rufogriseus
