sample,fastq_1,fastq_2,sample_name,species
HHJKKDSXC_1_8bp-UDP0147V3,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_05/20241217/FASTQ/HHJKKDSXC_1_8bp-UDP0147V3_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_05/20241217/FASTQ/HHJKKDSXC_1_8bp-UDP0147V3_2.fastq.gz,ABA19320,Ammotragus lervia
HHJKKDSXC_1_8bp-UDP0148V3,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_05/20241217/FASTQ/HHJKKDSXC_1_8bp-UDP0148V3_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_05/20241217/FASTQ/HHJKKDSXC_1_8bp-UDP0148V3_2.fastq.gz,ABA20007,Callimico goeldii
HHJKKDSXC_1_8bp-UDP0149,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_05/20241217/FASTQ/HHJKKDSXC_1_8bp-UDP0149_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_05/20241217/FASTQ/HHJKKDSXC_1_8bp-UDP0149_2.fastq.gz,ABA20013,Ceratotherium simum
HHJKKDSXC_1_8bp-UDP0150,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_05/20241217/FASTQ/HHJKKDSXC_1_8bp-UDP0150_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_05/20241217/FASTQ/HHJKKDSXC_1_8bp-UDP0150_2.fastq.gz,ABA20105,Aldabrachelys gigantea
HHJKKDSXC_1_8bp-UDP0151,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_05/20241217/FASTQ/HHJKKDSXC_1_8bp-UDP0151_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_05/20241217/FASTQ/HHJKKDSXC_1_8bp-UDP0151_2.fastq.gz,ABA20106,Hippopotamus amphibius
HHJKKDSXC_1_8bp-UDP0152,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_05/20241217/FASTQ/HHJKKDSXC_1_8bp-UDP0152_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_05/20241217/FASTQ/HHJKKDSXC_1_8bp-UDP0152_2.fastq.gz,ABA20108,Osphranter rufus
HHJKKDSXC_1_8bp-UDP0153,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_05/20241217/FASTQ/HHJKKDSXC_1_8bp-UDP0153_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_05/20241217/FASTQ/HHJKKDSXC_1_8bp-UDP0153_2.fastq.gz,ABA20124,Equus caballus
HHJKKDSXC_1_8bp-UDP0154,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_05/20241217/FASTQ/HHJKKDSXC_1_8bp-UDP0154_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_05/20241217/FASTQ/HHJKKDSXC_1_8bp-UDP0154_2.fastq.gz,ABA20129,Bos grunniens
HHJKKDSXC_1_8bp-UDP0155V3,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_05/20241217/FASTQ/HHJKKDSXC_1_8bp-UDP0155V3_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_05/20241217/FASTQ/HHJKKDSXC_1_8bp-UDP0155V3_2.fastq.gz,ABA20131,Papio cynocephalus
HHJKKDSXC_1_8bp-UDP0156,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_05/20241217/FASTQ/HHJKKDSXC_1_8bp-UDP0156_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_05/20241217/FASTQ/HHJKKDSXC_1_8bp-UDP0156_2.fastq.gz,ABA20133,Crocuta crocuta
HHJKKDSXC_1_8bp-UDP0157,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_05/20241217/FASTQ/HHJKKDSXC_1_8bp-UDP0157_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_05/20241217/FASTQ/HHJKKDSXC_1_8bp-UDP0157_2.fastq.gz,ABA20134,Axis axis
HHJKKDSXC_2_8bp-UDP0147V3,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_05/20241217/FASTQ/HHJKKDSXC_2_8bp-UDP0147V3_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_05/20241217/FASTQ/HHJKKDSXC_2_8bp-UDP0147V3_2.fastq.gz,ABA19320,Ammotragus lervia
HHJKKDSXC_2_8bp-UDP0148V3,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_05/20241217/FASTQ/HHJKKDSXC_2_8bp-UDP0148V3_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_05/20241217/FASTQ/HHJKKDSXC_2_8bp-UDP0148V3_2.fastq.gz,ABA20007,Callimico goeldii
HHJKKDSXC_2_8bp-UDP0149,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_05/20241217/FASTQ/HHJKKDSXC_2_8bp-UDP0149_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_05/20241217/FASTQ/HHJKKDSXC_2_8bp-UDP0149_2.fastq.gz,ABA20013,Ceratotherium simum
HHJKKDSXC_2_8bp-UDP0150,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_05/20241217/FASTQ/HHJKKDSXC_2_8bp-UDP0150_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_05/20241217/FASTQ/HHJKKDSXC_2_8bp-UDP0150_2.fastq.gz,ABA20105,Aldabrachelys gigantea
HHJKKDSXC_2_8bp-UDP0151,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_05/20241217/FASTQ/HHJKKDSXC_2_8bp-UDP0151_1.fastq.gz,/scratch_isilon/groups/compgen/data_transfer/CGLZOO_05/20241217/FASTQ/HHJKKDSXC_2_8bp-UDP0151_2.fastq.gz,ABA20106,Hippopotamus amphibius
